Order ID,Customer ID,Customer Name,Gender,Age,Customer Segment,Email,Phone,City,State,Order Date,Delivery Date,Delivery Status,Delivery Partner,Return Reason,Product ID,Product Name,Size,Unit Price,Quantity,Total Amount,Discount Applied,Payment Method,Payment Status,Review Rating,Customer Lifetime Value
ORD10033,7992,Unni Desai,Other,29,Wholesale,waliudant@example.org,9.12518E+11,Dharmavaram,West Bengal,24-01-2025,28-01-2025,Returned,XpressBees,Other,5,Bisleri Water Bottle 5L,5L,120,16,1920,0.03,Cash on Delivery,Pending,5,16156
ORD10034,3165,Gayathri Salvi,Female,57,Wholesale,manyaviswanathan@example.org,1491023168,Mau,Gujarat,10-11-2024,20-11-2024,Returned,EcomExpress,Other,1,Bisleri Water Bottle 250ml,250ml,138,9,1242,0.22,UPI,Pending,1.2,5676
ORD10035,9535,Amara Gopal,Male,27,Retail,mannanlekha@example.com,3204975523,Guntur,Maharashtra,30-08-2024,03-09-2024,Pending,Ekart,,2,Bisleri Water Bottle 500ml,500ml,26,18,468,0.1,UPI,Pending,1.7,7857
ORD10036,8548,Amruta Shenoy,Other,31,Online,bmadan@example.com,9.16757E+11,South Dumdum,Tamil Nadu,11-07-2025,13-07-2025,Returned,Ekart,Customer Cancelled,1,Bisleri Water Bottle 250ml,250ml,138,9,1242,0.07,Net Banking,Pending,3.1,10771
ORD10037,3568,Ekalinga Sunder,Other,55,Online,tejaskade@example.org,9.16227E+11,Amroha,Telangana,20-09-2024,25-09-2024,Pending,Delhivery,,5,Bisleri Water Bottle 5L,5L,120,14,1680,0.02,Cash on Delivery,Failed,2.9,9182
ORD10038,7028,Baghyawati Magar,Male,48,Wholesale,garima16@example.net,3232706735,Satna,Uttar Pradesh,12-10-2024,22-10-2024,Delivered,XpressBees,,1,Bisleri Water Bottle 250ml,250ml,138,2,276,0.14,Debit Card,Paid,3.4,20085
ORD10039,2234,Dev Kanda,Female,33,Online,chhabraonveer@example.net,9.11208E+11,North Dumdum,Telangana,22-12-2024,24-12-2024,Returned,Delhivery,Late Delivery,3,Bisleri Water Bottle 1L,1L,113,13,1469,0.23,Net Banking,Failed,1.7,7715
ORD10040,8382,Balvan Bhatia,Other,44,Wholesale,upkaar93@example.com,9.15462E+11,Khora ,Maharashtra,01-03-2025,03-03-2025,Delivered,EcomExpress,,4,Bisleri Water Bottle 2L,2L,29,19,551,0.18,Cash on Delivery,Pending,1.1,3609
ORD10041,6921,Jeremiah Date,Male,64,Wholesale,devika76@example.com,9.10927E+11,Jalandhar,Gujarat,31-07-2025,04-08-2025,Pending,Delhivery,,4,Bisleri Water Bottle 2L,2L,29,5,145,0.1,UPI,Failed,2.4,3916
ORD10042,1311,Rachana Pandey,Male,19,Online,tamannatoor@example.com,9832768058,Tirunelveli,Karnataka,01-01-2025,10-01-2025,Pending,Delhivery,,2,Bisleri Water Bottle 500ml,500ml,26,6,156,0.27,Credit Card,Paid,1.2,11229
ORD10043,7538,Noah Sodhi,Male,61,Online,patlawilliam@example.com,2081321886,Jamnagar,Maharashtra,19-07-2025,26-07-2025,Pending,BlueDart,,2,Bisleri Water Bottle 500ml,500ml,26,18,468,0.17,Credit Card,Failed,2,8114
ORD10044,3516,Krisha Gola,Other,31,Retail,christopher89@example.net,9042407289,Tirunelveli,Uttar Pradesh,08-08-2024,12-08-2024,Pending,EcomExpress,,2,Bisleri Water Bottle 500ml,500ml,26,14,364,0.24,Credit Card,Failed,2.5,16891
ORD10045,7348,Vasudha Muni,Other,39,Wholesale,chanakya16@example.net,7220660644,Raiganj,Karnataka,27-02-2025,08-03-2025,Pending,EcomExpress,,3,Bisleri Water Bottle 1L,1L,113,16,1808,0.15,Cash on Delivery,Pending,2.9,14389
ORD10046,2630,Aryan Chandran,Male,42,Online,idika76@example.org,2275329088,Bhavnagar,West Bengal,08-10-2024,10-10-2024,Pending,Ekart,,1,Bisleri Water Bottle 250ml,250ml,138,19,2622,0.19,Net Banking,Failed,4,21024
ORD10047,4203,Amrita Sabharwal,Female,26,Online,psrivastava@example.com,3715940903,Fatehpur,Madhya Pradesh,07-11-2024,11-11-2024,Pending,EcomExpress,,4,Bisleri Water Bottle 2L,2L,29,16,464,0.17,Debit Card,Failed,1.1,15235
ORD10048,1470,Oliver Sharaf,Male,29,Online,dominicsaha@example.net,4021492485,Tiruchirappalli,Rajasthan,29-11-2024,05-12-2024,Delivered,Delhivery,,3,Bisleri Water Bottle 1L,1L,113,19,2147,0.05,Debit Card,Paid,2.1,15121
ORD10049,3527,Arunima Maharaj,Female,26,Online,tanvi56@example.net,9.15765E+11,Nadiad,West Bengal,18-08-2024,23-08-2024,Delivered,BlueDart,,4,Bisleri Water Bottle 2L,2L,29,12,348,0.27,Net Banking,Paid,3.4,2342
ORD10050,6078,Naksh Reddy,Female,22,Online,fiyaz07@example.org,4391994536,Jhansi,West Bengal,09-12-2024,12-12-2024,Delivered,BlueDart,,4,Bisleri Water Bottle 2L,2L,29,7,203,0.24,Debit Card,Failed,1.3,8736
ORD10051,5502,Omisha Tella,Other,51,Wholesale,libnichahal@example.com,8714909569,Tezpur,Delhi,05-11-2024,09-11-2024,Pending,EcomExpress,,1,Bisleri Water Bottle 250ml,250ml,138,13,1794,0.12,Cash on Delivery,Pending,4.3,20477
ORD10052,2910,Charita Nanda,Female,60,Online,haritashroff@example.org,9.1889E+11,Katni,Maharashtra,08-08-2024,17-08-2024,Delivered,XpressBees,,1,Bisleri Water Bottle 250ml,250ml,138,3,414,0,Debit Card,Pending,2.4,20136
ORD10053,2742,Rajata Balay,Other,35,Retail,badamishravya@example.com,420781092,Shahjahanpur,Delhi,13-06-2025,19-06-2025,Delivered,EcomExpress,,5,Bisleri Water Bottle 5L,5L,120,9,1080,0.23,Net Banking,Pending,1.8,10876
ORD10054,3687,Veda Chand,Female,31,Retail,ishwarlad@example.org,2292618165,Muzaffarnagar,Uttar Pradesh,18-09-2024,27-09-2024,Pending,EcomExpress,,1,Bisleri Water Bottle 250ml,250ml,138,3,414,0.15,Net Banking,Pending,1.8,14902
ORD10055,2271,Niharika Butala,Male,21,Retail,dhingrahardik@example.org,5408300558,Patna,Karnataka,25-09-2024,28-09-2024,Returned,BlueDart,Damaged Product,4,Bisleri Water Bottle 2L,2L,29,20,580,0.02,UPI,Failed,4.1,5459
ORD10056,2951,Keya Vyas,Female,55,Wholesale,nirja25@example.com,6220369540,Bhubaneswar,Tamil Nadu,28-12-2024,31-12-2024,Pending,EcomExpress,,2,Bisleri Water Bottle 500ml,500ml,26,6,156,0.21,Cash on Delivery,Pending,4.5,12159
ORD10057,7260,Shivani Lad,Female,22,Wholesale,urmi00@example.org,9.1354E+11,Sonipat,Tamil Nadu,05-01-2025,13-01-2025,Pending,BlueDart,,5,Bisleri Water Bottle 5L,5L,120,2,240,0.17,Cash on Delivery,Paid,4.1,9784
ORD10058,2961,Mahika Behl,Other,32,Wholesale,kpanchal@example.com,3519369273,Berhampore,Gujarat,11-05-2025,17-05-2025,Pending,BlueDart,,4,Bisleri Water Bottle 2L,2L,29,20,580,0.27,Cash on Delivery,Failed,1.7,8688
ORD10059,9235,Finn Sankaran,Female,55,Wholesale,nidrabakshi@example.com,8484776779,Lucknow,West Bengal,28-09-2024,03-10-2024,Delivered,Ekart,,3,Bisleri Water Bottle 1L,1L,113,6,678,0.05,Cash on Delivery,Failed,4.1,7705
ORD10060,6796,Vedika Apte,Female,27,Online,advay08@example.net,938918859,Saharanpur,Karnataka,15-02-2025,23-02-2025,Returned,Ekart,Customer Cancelled,3,Bisleri Water Bottle 1L,1L,113,2,226,0.19,Debit Card,Pending,2.9,8921
ORD10061,1316,Ansh Desai,Female,36,Wholesale,ryanjohal@example.com,9.19279E+11,Bihar Sharif,Uttar Pradesh,02-03-2025,11-03-2025,Returned,EcomExpress,Other,4,Bisleri Water Bottle 2L,2L,29,16,464,0.13,Net Banking,Pending,1.4,6378
ORD10062,2641,Amrita Wason,Other,54,Retail,vivaan41@example.org,9.14306E+11,Ulhasnagar,West Bengal,24-10-2024,26-10-2024,Pending,XpressBees,,2,Bisleri Water Bottle 500ml,500ml,26,16,416,0.27,UPI,Pending,1.8,17060
ORD10063,3254,Robert Chokshi,Other,47,Online,skarnik@example.org,9.1198E+11,Durgapur,Uttar Pradesh,22-10-2024,26-10-2024,Pending,XpressBees,,4,Bisleri Water Bottle 2L,2L,29,16,464,0.22,UPI,Failed,3.8,17626
ORD10064,2880,Gabriel Kanda,Female,43,Online,vmann@example.net,3533838685,Indore,Maharashtra,24-01-2025,27-01-2025,Pending,EcomExpress,,3,Bisleri Water Bottle 1L,1L,113,3,339,0.19,Cash on Delivery,Pending,2.6,1255
ORD10065,6960,Naksh Baria,Female,57,Online,andrew08@example.com,9902678299,Jalgaon,Gujarat,30-01-2025,31-01-2025,Pending,Ekart,,1,Bisleri Water Bottle 250ml,250ml,138,15,2070,0.23,UPI,Paid,1.9,6670
ORD10066,7317,Kamala Brahmbhatt,Female,20,Retail,mandergayathri@example.net,9.17548E+11,Jamalpur,West Bengal,23-10-2024,28-10-2024,Delivered,XpressBees,,1,Bisleri Water Bottle 250ml,250ml,138,16,2208,0.13,Credit Card,Failed,1.5,12450
ORD10067,6234,William Roy,Other,28,Retail,vaidyaranbir@example.com,879655824,Delhi,Gujarat,01-10-2024,02-10-2024,Returned,XpressBees,Customer Cancelled,2,Bisleri Water Bottle 500ml,500ml,26,18,468,0.29,UPI,Failed,2.8,16058
ORD10068,2986,Rachana Vyas,Male,34,Online,gdivan@example.org,4094455596,Madhyamgram,Tamil Nadu,10-02-2025,19-02-2025,Returned,BlueDart,Customer Cancelled,3,Bisleri Water Bottle 1L,1L,113,14,1582,0.13,Net Banking,Pending,2.7,17968
ORD10069,1189,Meera Raghavan,Other,64,Retail,chaudharyforum@example.org,3165721533,Nagercoil,Tamil Nadu,10-09-2024,13-09-2024,Pending,Ekart,,5,Bisleri Water Bottle 5L,5L,120,13,1560,0.12,UPI,Paid,4.6,15365
ORD10070,4608,Gabriel Doctor,Female,60,Retail,cgoel@example.com,1389533362,Madanapalle,Tamil Nadu,26-07-2025,01-08-2025,Returned,BlueDart,Damaged Product,3,Bisleri Water Bottle 1L,1L,113,10,1130,0.02,Cash on Delivery,Paid,2.5,5651
ORD10071,4652,Wahab Bhatnagar,Other,34,Wholesale,parikhupasna@example.org,1122072089,Gulbarga,Karnataka,17-11-2024,18-11-2024,Returned,Ekart,Late Delivery,2,Bisleri Water Bottle 500ml,500ml,26,18,468,0.18,Cash on Delivery,Paid,3.2,5010
ORD10072,5828,Neel Srivastava,Other,22,Wholesale,grovereta@example.com,3941335795,Noida,Uttar Pradesh,08-01-2025,12-01-2025,Returned,Delhivery,Customer Cancelled,5,Bisleri Water Bottle 5L,5L,120,7,840,0.09,Cash on Delivery,Pending,1.1,14740
ORD10073,3283,Yashoda Sidhu,Male,30,Online,kalladhriti@example.net,6864012142,Tenali,Maharashtra,21-05-2025,25-05-2025,Pending,BlueDart,,1,Bisleri Water Bottle 250ml,250ml,138,18,2484,0.19,Debit Card,Failed,3.7,11550
ORD10074,8783,Tanmayi Choudhry,Female,59,Retail,suhani64@example.net,9.13317E+11,Tadipatri,Karnataka,28-12-2024,31-12-2024,Delivered,XpressBees,,5,Bisleri Water Bottle 5L,5L,120,7,840,0.14,Cash on Delivery,Failed,2,11736
ORD10075,5106,Madhav Muni,Female,39,Wholesale,gunbir17@example.org,1085155978,Kadapa,West Bengal,16-01-2025,19-01-2025,Delivered,Ekart,,4,Bisleri Water Bottle 2L,2L,29,1,29,0.18,Net Banking,Pending,2.5,12692
ORD10076,5098,Triveni Randhawa,Female,22,Wholesale,darsh14@example.com,6834930711,Bhatpara,Madhya Pradesh,27-11-2024,07-12-2024,Delivered,Ekart,,4,Bisleri Water Bottle 2L,2L,29,19,551,0.22,UPI,Paid,3.6,13144
ORD10077,1100,Max Doctor,Male,26,Wholesale,kalpitlad@example.net,9.19831E+11,Hyderabad,Rajasthan,16-11-2024,21-11-2024,Delivered,Delhivery,,4,Bisleri Water Bottle 2L,2L,29,2,58,0.09,Cash on Delivery,Paid,1.9,11800
ORD10078,6101,Megha Viswanathan,Male,28,Retail,vermachaitaly@example.net,5486177918,Ajmer,Karnataka,28-02-2025,01-03-2025,Pending,EcomExpress,,5,Bisleri Water Bottle 5L,5L,120,4,480,0.19,UPI,Pending,4.8,12037
ORD10079,3696,Advay Kota,Female,43,Online,xmadan@example.com,9.18196E+11,Bareilly,Maharashtra,22-12-2024,24-12-2024,Delivered,Ekart,,3,Bisleri Water Bottle 1L,1L,113,2,226,0.14,Debit Card,Pending,1.8,9792
ORD10080,5062,Jyoti Kara,Other,47,Wholesale,harishdugar@example.org,4218821747,Bhimavaram,Tamil Nadu,28-09-2024,07-10-2024,Delivered,XpressBees,,1,Bisleri Water Bottle 250ml,250ml,138,19,2622,0.09,Cash on Delivery,Paid,1.4,5612
ORD10081,1914,Veda Tiwari,Other,52,Retail,wchahal@example.net,9.18747E+11,Raurkela Industrial Township,Gujarat,02-08-2025,08-08-2025,Pending,EcomExpress,,4,Bisleri Water Bottle 2L,2L,29,7,203,0.01,Cash on Delivery,Pending,1.5,15901
ORD10082,2250,Ethan Murty,Other,49,Online,tankchandresh@example.net,1278572465,Kirari Suleman Nagar,Maharashtra,19-07-2025,25-07-2025,Delivered,XpressBees,,5,Bisleri Water Bottle 5L,5L,120,10,1200,0.17,Debit Card,Failed,2,2024
ORD10083,3574,Rudra Chaudhari,Other,53,Online,urishillagala@example.com,7452378142,Proddatur,Delhi,07-06-2025,15-06-2025,Delivered,XpressBees,,3,Bisleri Water Bottle 1L,1L,113,15,1695,0.06,Credit Card,Failed,3.2,2954
ORD10084,3520,Jason Butala,Other,41,Retail,warinderdara@example.com,3086618819,Udupi,Uttar Pradesh,17-03-2025,21-03-2025,Returned,Ekart,Other,4,Bisleri Water Bottle 2L,2L,29,8,232,0.21,Debit Card,Failed,4.9,8206
ORD10085,4474,Aarna Hans,Male,24,Wholesale,dintanmayi@example.net,9.11236E+11,Tirupati,Telangana,06-10-2024,07-10-2024,Delivered,BlueDart,,2,Bisleri Water Bottle 500ml,500ml,26,20,520,0.25,Debit Card,Failed,2.8,11586
ORD10086,4533,Jagat Gill,Female,60,Retail,sdewan@example.com,9.13081E+11,Bhiwani,West Bengal,24-08-2024,02-09-2024,Pending,BlueDart,,1,Bisleri Water Bottle 250ml,250ml,138,11,1518,0.09,Cash on Delivery,Paid,4.6,12656
ORD10087,1357,Oeshi Karnik,Male,21,Retail,wishi83@example.com,9.15728E+11,Saharsa,Gujarat,22-04-2025,26-04-2025,Pending,EcomExpress,,1,Bisleri Water Bottle 250ml,250ml,138,17,2346,0.22,UPI,Pending,4.5,5249
ORD10088,6900,Nidra Mann,Female,23,Retail,kashishsen@example.org,9.16533E+11,Muzaffarnagar,Maharashtra,24-03-2025,26-03-2025,Returned,Ekart,Late Delivery,4,Bisleri Water Bottle 2L,2L,29,8,232,0.24,Credit Card,Paid,1.4,5187
ORD10089,9148,Girish Sampath,Male,30,Online,victorsetty@example.com,7714214253,Rohtak,West Bengal,20-11-2024,27-11-2024,Delivered,Delhivery,,5,Bisleri Water Bottle 5L,5L,120,2,240,0,UPI,Pending,4.9,11916
ORD10090,2997,Oscar Om,Female,41,Online,amand@example.net,4002152237,Danapur,Tamil Nadu,08-06-2025,09-06-2025,Delivered,Delhivery,,5,Bisleri Water Bottle 5L,5L,120,12,1440,0.01,Net Banking,Failed,4.9,8679
ORD10091,9857,Fiyaz Kunda,Female,33,Wholesale,bhardwajjhalak@example.net,9292697873,Mysore,Delhi,11-08-2024,21-08-2024,Pending,Delhivery,,3,Bisleri Water Bottle 1L,1L,113,5,565,0.1,Net Banking,Failed,1.1,4483
ORD10092,9249,Nachiket Sekhon,Female,46,Wholesale,yoshitachad@example.org,2474705522,Guntakal,Gujarat,29-07-2025,04-08-2025,Pending,XpressBees,,3,Bisleri Water Bottle 1L,1L,113,10,1130,0.1,Net Banking,Failed,4.5,5833
ORD10093,6421,Isaiah Nagar,Female,24,Online,dkumar@example.net,9078193641,Nagercoil,Rajasthan,04-01-2025,14-01-2025,Delivered,BlueDart,,3,Bisleri Water Bottle 1L,1L,113,8,904,0.14,Cash on Delivery,Paid,3.6,10413
ORD10094,8307,Forum Keer,Male,43,Retail,ekani25@example.org,6688378119,Satna,Delhi,28-03-2025,04-04-2025,Pending,XpressBees,,4,Bisleri Water Bottle 2L,2L,29,8,232,0.28,Debit Card,Failed,2.3,10792
ORD10095,4020,Baghyawati Verma,Male,65,Wholesale,lakshmibhatt@example.net,6819221021,Loni,Gujarat,22-10-2024,27-10-2024,Pending,XpressBees,,3,Bisleri Water Bottle 1L,1L,113,12,1356,0.21,Net Banking,Paid,1.5,10648
ORD10096,6077,Harshil Rajan,Male,41,Retail,kapurchakradhar@example.org,6861408160,Srikakulam,Uttar Pradesh,02-10-2024,11-10-2024,Returned,EcomExpress,Damaged Product,5,Bisleri Water Bottle 5L,5L,120,10,1200,0.02,UPI,Paid,2.9,11917
ORD10097,1523,Dayita Dash,Other,39,Wholesale,qushisastry@example.org,7642768880,Bettiah,Maharashtra,10-02-2025,18-02-2025,Delivered,XpressBees,,3,Bisleri Water Bottle 1L,1L,113,14,1582,0.05,Net Banking,Failed,2.1,2969
ORD10098,9973,Nilima Sekhon,Other,55,Online,jdey@example.com,1617215091,Chennai,Madhya Pradesh,31-10-2024,10-11-2024,Delivered,BlueDart,,2,Bisleri Water Bottle 500ml,500ml,26,17,442,0.03,Cash on Delivery,Pending,4.5,18132
ORD10099,5729,Bakhshi Johal,Other,39,Retail,vpradhan@example.org,4608739475,Raurkela Industrial Township,Uttar Pradesh,02-06-2025,09-06-2025,Delivered,XpressBees,,4,Bisleri Water Bottle 2L,2L,29,2,58,0.24,Cash on Delivery,Paid,1.4,19191
ORD10100,9700,Hardik Gaba,Other,44,Wholesale,usura@example.com,2387412628,Akola,Madhya Pradesh,20-12-2024,24-12-2024,Delivered,BlueDart,,3,Bisleri Water Bottle 1L,1L,113,13,1469,0.25,Credit Card,Pending,2.9,5059
ORD10101,3658,Anvi Taneja,Other,20,Wholesale,yagnesh27@example.org,7855675290,Pallavaram,West Bengal,31-01-2025,04-02-2025,Returned,Delhivery,Late Delivery,5,Bisleri Water Bottle 5L,5L,120,1,120,0.02,Net Banking,Failed,3.3,1396
ORD10102,8522,Omya Ghose,Male,27,Wholesale,tcherian@example.net,1267842889,Tezpur,Uttar Pradesh,08-05-2025,12-05-2025,Pending,XpressBees,,1,Bisleri Water Bottle 250ml,250ml,138,9,1242,0.01,Cash on Delivery,Pending,1.2,10126
